=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.19 10:06:13 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:9.95,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.00,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:10.05,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:10.10,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:10.15,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:10.20,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:10.25,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.30,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.35,Throttle:1820,Theta:1.30,theta_d:0.00,Error:-1.30
t:10.40,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:10.45,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:10.50,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.55,Throttle:1828,Theta:0.74,theta_d:0.00,Error:-0.74
t:10.60,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.65,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.70,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.75,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.80,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.85,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:10.90,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:10.95,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:11.00,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:11.05,Throttle:1823,Theta:1.11,theta_d:0.00,Error:-1.11
t:11.10,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:11.15,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:11.20,Throttle:1820,Theta:1.30,theta_d:0.00,Error:-1.30
t:11.25,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:11.30,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:11.35,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:11.40,Throttle:1819,Theta:1.30,theta_d:0.00,Error:-1.30
t:11.45,Throttle:1826,Theta:0.92,theta_d:0.00,Error:-0.92
t:11.50,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:11.55,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:11.60,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:11.65,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:11.70,Throttle:1834,Theta:0.17,theta_d:0.00,Error:-0.17
t:11.75,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:11.80,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:11.85,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:11.90,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:11.95,Throttle:1820,Theta:1.30,theta_d:0.00,Error:-1.30
