=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.27 17:16:13 =~=~=~=~=~=~=~=~=~=~=~=
St558,Theta:2.29,theta_d:-15.00,Error:-17.-17.10
t:6.20,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:6.25,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:6.30,Throttle:1804,Theta:-19.79,theta_d:-15.00,Error:4.79
t:6.35,Throttle:1802,Theta:-22.06,theta_d:-15.00,Error:7.06
t:6.40,Throttle:1695,Theta:-11.68,theta_d:-15.00,Error:-3.32
t:6.45,Throttle:1673,Theta:-8.09,theta_d:-15.00,Error:-6.91
t:6.50,Throttle:1750,Theta:-14.32,theta_d:-15.00,Error:-0.68
t:6.55,Throttle:1803,Theta:-21.11,theta_d:-15.00,Error:6.12
t:6.60,Throttle:1748,Theta:-16.59,theta_d:-15.00,Error:1.59
t:6.65,Throttle:1705,Theta:-11.68,theta_d:-15.00,Error:-3.32
t:6.70,Throttle:1787,Theta:-18.85,theta_d:-15.00,Error:3.85
t:6.75,Throttle:1762,Theta:-17.53,theta_d:-15.00,Error:2.53
t:6.80,Throttle:1762,Theta:-17.34,theta_d:-15.00,Error:2.34
t:6.85,Throttle:1803,Theta:-21.68,theta_d:-15.00,Error:6.68
t:6.90,Throttle:1781,Theta:-20.17,theta_d:-15.00,Error:5.17
t:6.95,Throttle:1782,Theta:-19.98,theta_d:-15.00,Error:4.98
t:7.00,Throttle:1779,Theta:-19.61,theta_d:-15.00,Error:4.61
t:7.05,Throttle:1802,Theta:-22.06,theta_d:-15.00,Error:7.06
t:7.10,Throttle:1798,Theta:-22.06,theta_d:-15.00,Error:7.06
t:7.15,Throttle:1798,Theta:-22.06,theta_d:-15.00,Error:7.06
t:7.20,Throttle:1828,Theta:-25.64,theta_d:-15.00,Error:10.64
t:7.25,Throttle:1786,Theta:-21.49,theta_d:-15.00,Error:6.49
t:7.30,Throttle:1766,Theta:-18.47,theta_d:-15.00,Error:3.47
t:7.35,Throttle:1853,Theta:-28.10,theta_d:-15.00,Error:13.10
t:7.40,Throttle:1855,Theta:-30.55,theta_d:-15.00,Error:15.55
t:7.45,Throttle:1776,Theta:-21.30,theta_d:-15.00,Error:6.30
t:7.50,Throttle:1754,Theta:-17.15,theta_d:-15.00,Error:2.15
t:7.55,Throttle:1786,Theta:-19.79,theta_d:-15.00,Error:4.79
t:7.60,Throttle:1828,Theta:-25.27,theta_d:-15.00,Error:10.27
t:7.65,Throttle:1814,Theta:-24.70,theta_d:-15.00,Error:9.70
t:7.70,Throttle:1828,Theta:-26.21,theta_d:-15.00,Error:11.21
t:7.75,Throttle:1789,Theta:-21.87,theta_d:-15.00,Error:6.87
t:7.80,Throttle:1796,Theta:-21.87,theta_d:-15.00,Error:6.87
t:7.85,Throttle:1796,Theta:-21.87,theta_d:-15.00,Error:6.87
t:7.90,Throttle:1783,Theta:-20.36,theta_d:-15.00,Error:5.36
t:7.95,Throttle:1750,Theta:-16.59,theta_d:-15.00,Error:1.59
t:8.00,Throttle:1692,Theta:-10.55,theta_d:-15.00,Error:-4.45
t:8.05,Throttle:1680,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:8.10,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:8.15,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:8.20,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:8.25,Throttle:1692,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:8.30,Throttle:1680,Theta:-8.28,theta_d:-15.00,Error:-6.72
t:8.35,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:8.40,Throttle:1692,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:8.45,Throttle:1685,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:8.50,Throttle:1697,Theta:-9.60,theta_d:-15.00,Error:-5.40
t:8.55,Throttle:1682,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:8.60,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:8.65,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:8.70,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:8.75,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:8.80,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:8.85,Throttle:1692,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:8.90,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:8.95,Throttle:1686,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:9.00,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:9.05,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:9.10,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:9.15,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:9.20,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:9.25,Throttle:1686,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:9.30,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:9.35,Throttle:1692,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:9.40,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:9.45,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:9.50,Throttle:1692,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:9.55,Throttle:1685,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:9.60,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:9.65,Throttle:1694,Theta:-9.41,theta_d:-15.00,Error:-5.58
t:9.70,Throttle:1682,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:9.75,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:9.80,Throttle:1687,Theta:-8.85,theta_d:-15.00,Error:-6.15
t:9.85,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:9.90,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:9.95,Throttle:1689,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:10.00,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:10.05,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:10.10,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:10.15,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:10.20,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:10.25,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:10.30,Throttle:1678,Theta:-8.09,theta_d:-15.00,Error:-6.91
t:10.35,Throttle:1692,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:10.40,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:10.45,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:10.50,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:10.55,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:10.60,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:10.65,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:10.70,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:10.75,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:10.80,Throttle:1692,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:10.85,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:10.90,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:10.95,Throttle:1680,Theta:-8.28,theta_d:-15.00,Error:-6.72
t:11.00,Throttle:1682,Theta:-8.28,theta_d:-15.00,Error:-6.72
t:11.05,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:11.10,Throttle:1692,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:11.15,Throttle:1689,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:11.20,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:11.25,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:11.30,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:11.35,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:11.40,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:11.45,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:11.50,Throttle:1674,Theta:-7.72,theta_d:-15.00,Error:-7.28
t:11.55,Throttle:1690,Theta:-8.85,theta_d:-15.00,Error:-6.15
t:11.60,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:11.65,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:11.70,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:11.75,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:11.80,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:11.85,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:11.90,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:11.95,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.00,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:12.05,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.10,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:12.15,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.20,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:12.25,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.30,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:12.35,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.40,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:12.45,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.50,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:12.55,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.60,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:12.65,Throttle:1685,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:12.70,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:12.75,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.80,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.85,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:12.90,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:12.95,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:13.00,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:13.05,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:13.10,Throttle:1681,Theta:-8.28,theta_d:-15.00,Error:-6.72
t:13.15,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:13.20,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:13.25,Throttle:1693,Theta:-9.23,theta_d:-15.00,Error:-5.77
t:13.30,Throttle:1687,Theta:-8.85,theta_d:-15.00,Error:-6.15
t:13.35,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:13.40,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:13.45,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:13.50,Throttle:1685,Theta:-8.66,theta_d:-15.00,Error:-6.34
