=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.20 11:43:14 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:1.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:6.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:7.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:8.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
